SiteID;SiteName_CentroFunzionale
3552;Amelia
4589;NA
468;Allerona
4335;Ancaiano
1090;Armenzano
4849;Arrone
4851;Attigliano
4957;Avigliano Umbro
811;Azzano
796;Bastardo
270;Bastia Umbra
3543;Bevagna
4960;Branca
4850;Calvi dell'Umbria
4958;Campogrande
3545;Cannara
3546;NA
1480;Carestello
792;Casa Castalda
4963;Casanuova
4973;Cascia
795;Casigliano
4072;Cassa Molino di Bagni
4956;Castagnacupa
4854;Castelluccio di Norcia
457;Castiglione del Lago
1653;Cerbara
265;Citta'di Castello
775;Collepepe
269;Compignano
4953;Compresso
636;Lago di Corbara
4852;Corciano
4847;Ficulle
1520;Foligno
1519;Forca Canapine
797;Forsivo
3551;Gualdo Tadino
301;Gubbio
742;Polvese 1
752;Polvese 2 La Villa
1092;La Bolsella
4961;Bruna
4510;La Cima
4590;NA
802;NA
807;Marsciano
4066;Massa Martana
5122;Melezzole
782;NA
1685;NA
803;NA
1079;Moiano
1683;Monte Cucco
4853;Monte del Lago
3541;Monte Molino
1176;Montedoglio
4028;Monteleone di Spoleto
264;Montelovesco
4955;Montemartano
1681;NA
1686;NA
3538;NA
1652;Narni Scalo
267;Nocera Umbra
2011;Norcia
2005;Orvieto
813;Orvieto Scalo
3547;Palazzetta
289;NA
748;Passignano Alta
491;NA
3539;Perugia Santa Giuliana
1482;Perugia Fontivegge
266;Petrelle
773;Petrignano d'Assisi
738;Petrignano del Lago
2842;Pianello
1522;Piediluco
1680;Pierantonio
4952;Pieve di Saddi
1516;Pistrino
770;NA
804;Ponte Buggianino
3542;Ponte Felcino
453;Ponte Nuovo di Torgiano
251;NA
1521;NA
252;Ponte S.Maria
4512;NA
253;Ponticelli
4959;Pornello
4855;Prodo
798;Ripalvella
794;S.Benedetto Vecchio
793;S.Biagio della Valle
3537;S.Gemini
750;S.Savino
799;S.Silvestro
772;NA
4848;Sellano
3540;NA
2002;Spoleto
3549;Terni
268;Todi
774;NA
4954;Torre dell'Olmo
1517;NA
5216;Tresa
4830;Trestina
2001;Umbertide
1682;Vallo di Nera
1679;NA
2000;NA
